brick,Cód. Filial
1 - SE,402
92 - CHAC.SANTO ANTONIO,454
181 - REGISTRO,423
257 - S.J.RIO PRETO-CENTRO,394
271 - S.J.RIO PRETO-V.S.MANOEL,417
321 - PRES.PRUDENTE - CENTRO,480
757 - TORORO-POLITEAMA,536
757 - TORORO-POLITEAMA,577
758 - CAMPO GRANDE - VITORIA,607
769 - QUINTAS,559
770 - BOM JUA,561
771 - CALCADA,562
773 - PERNAMBUES,535
773 - PERNAMBUES,568
774 - VALERIA,593
774 - VALERIA,591
776 - AMARALINA,603
778 - MADRE DE DEUS,539
781 - FEIRA SANTANA - CENTRO,524
781 - FEIRA SANTANA - CENTRO,569
1147 - CAMPO GRANDE - CENTRO,950
1147 - CAMPO GRANDE - CENTRO,373
1147 - CAMPO GRANDE - CENTRO,386
1147 - CAMPO GRANDE - CENTRO,478
1147 - CAMPO GRANDE - CENTRO,672
1148 - C.GRANDE-V.ANT.VENDAS,345
1151 - RIO BRILHANTE,426
1154 - COXIM,670
1156 - TRES LAGOAS,511
1157 - FATIMA DO SUL,393
1157 - FATIMA DO SUL,313
1157 - FATIMA DO SUL,212
1158 - DOURADOS,951
1158 - DOURADOS,973
1159 - PONTA PORA,406
1159 - PONTA PORA,640
1160 - CURITIBA - CENTRO,796
1160 - CURITIBA - CENTRO,934
1160 - CURITIBA - CENTRO,943
1161 - P.PUBLICO,794
1161 - P.PUBLICO,819
1161 - P.PUBLICO,863
1161 - P.PUBLICO,871
1161 - P.PUBLICO,941
1162 - ALTO GLORIA,917
1163 - ALTO RUA XV,385
1166 - AGUA VERDE,579
1166 - AGUA VERDE,492
1169 - S.FRANCISCO,753
1170 - BATEL,927
1170 - BATEL,956
1170 - BATEL,465
1174 - CENTRO CIVICO,931
1175 - PORTAO,831
1175 - PORTAO,409
1176 - BIGORILHO,479
1176 - BIGORILHO,599
1178 - NOVO MUNDO,816
1178 - NOVO MUNDO,818
1178 - NOVO MUNDO,945
1178 - NOVO MUNDO,963
1178 - NOVO MUNDO,957
1178 - NOVO MUNDO,380
1178 - NOVO MUNDO,501
1178 - NOVO MUNDO,518
1178 - NOVO MUNDO,631
1178 - NOVO MUNDO,682
1179 - HAUER,840
1179 - HAUER,864
1179 - HAUER,923
1179 - HAUER,456
1179 - HAUER,471
1179 - HAUER,555
1179 - HAUER,666
1181 - ABRANCHES,835
1181 - ABRANCHES,862
1182 - BOTIATUVINHA,888
1182 - BOTIATUVINHA,643
1183 - BACACHERI,382
1183 - BACACHERI,458
1183 - BACACHERI,653
1184 - S.JOSE DOS PINHAIS,792
1184 - S.JOSE DOS PINHAIS,918
1184 - S.JOSE DOS PINHAIS,398
1184 - S.JOSE DOS PINHAIS,431
1184 - S.JOSE DOS PINHAIS,450
1185 - PARANAGUA,810
1185 - PARANAGUA,911
1185 - PARANAGUA,381
1185 - PARANAGUA,560
1185 - PARANAGUA,565
1185 - PARANAGUA,602
1186 - GUARATUBA,930
1186 - GUARATUBA,404
1186 - GUARATUBA,580
1186 - GUARATUBA,638
1186 - GUARATUBA,684
1188 - COLOMBO,830
1188 - COLOMBO,438
1188 - COLOMBO,608
1188 - COLOMBO,334
1189 - CAMPO LARGO,899
1189 - CAMPO LARGO,570
1190 - ARAUCARIA,412
1191 - LAPA,805
1191 - LAPA,464
1191 - LAPA,552
1191 - LAPA,337
1192 - PONTA GROSSA,829
1192 - PONTA GROSSA,869
1193 - P.GROSSA/PALMEIRA,416
1195 - JAGUARIAIVA,887
1198 - UNIAO VITORIA,947
1206 - PATO BRANCO,798
1206 - PATO BRANCO,906
1208 - FRANCISCO BELTRAO,919
1208 - FRANCISCO BELTRAO,668
1210 - CASCAVEL,885
1210 - CASCAVEL,886
1210 - CASCAVEL,896
1210 - CASCAVEL,903
1210 - CASCAVEL,970
1210 - CASCAVEL,377
1210 - CASCAVEL,413
1210 - CASCAVEL,493
1210 - CASCAVEL,500
1210 - CASCAVEL,671
1213 - FOZ DO IGUACU,882
1213 - FOZ DO IGUACU,351
1216 - TOLEDO,961
1217 - NOVA STA ROSA,897
1217 - NOVA STA ROSA,949
1221 - LOND.S.PEDRO I,924
1222 - LOND S.NEVES,685
1223 - LOND.IPIRANGA,821
1223 - LOND.IPIRANGA,375
1223 - LOND.IPIRANGA,379
1226 - CASONI,515
1228 - SAN FERNANDO,505
1229 - UNIVERSIDADE,376
1229 - UNIVERSIDADE,498
1229 - UNIVERSIDADE,676
1230 - CINCO CONJUNTOS,813
1231 - B.VISTA PARAISO,933
1233 - CORNELI PROCOPIO,861
1238 - ARAPONGAS,422
1238 - ARAPONGAS,430
1238 - ARAPONGAS,598
1239 - APUCARANA,878
1239 - APUCARANA,418
1241 - MARINGA,900
1241 - MARINGA,391
1243 - CIANORTE,912
1243 - CIANORTE,419
1245 - IRETAMA,836
1248 - UMUARAMA,913
1249 - PEROLA,434
1251 - PARANAVAI,395
1254 - FLOR.RODOVIARIA,301
1254 - FLOR.RODOVIARIA,660
1254 - FLOR.RODOVIARIA,739
1254 - FLOR.RODOVIARIA,804
1254 - FLOR.RODOVIARIA,839
1254 - FLOR.RODOVIARIA,859
1254 - FLOR.RODOVIARIA,894
1254 - FLOR.RODOVIARIA,374
1255 - HOSP.CELSO RAMOS,765
1255 - HOSP.CELSO RAMOS,874
1255 - HOSP.CELSO RAMOS,711
1255 - HOSP.CELSO RAMOS,823
1255 - HOSP.CELSO RAMOS,901
1255 - HOSP.CELSO RAMOS,504
1256 - HOSP.CARIDADE,738
1256 - HOSP.CARIDADE,748
1257 - TRINDADE,576
1257 - TRINDADE,787
1257 - TRINDADE,834
1257 - TRINDADE,902
1257 - TRINDADE,921
1257 - TRINDADE,937
1257 - TRINDADE,944
1257 - TRINDADE,958
1257 - TRINDADE,971
1257 - TRINDADE,506
1257 - TRINDADE,516
1257 - TRINDADE,461
1257 - TRINDADE,626
1257 - TRINDADE,665
1257 - TRINDADE,675
1257 - TRINDADE,677
1257 - TRINDADE,304
1258 - ESTREITO,181
1258 - ESTREITO,726
1258 - ESTREITO,707
1258 - ESTREITO,907
1258 - ESTREITO,925
1258 - ESTREITO,520
1258 - ESTREITO,548
1258 - ESTREITO,658
1259 - SAO JOSE,693
1259 - SAO JOSE,788
1259 - SAO JOSE,335
1259 - SAO JOSE,262
1259 - SAO JOSE,343
1259 - SAO JOSE,691
1259 - SAO JOSE,775
1259 - SAO JOSE,783
1259 - SAO JOSE,814
1259 - SAO JOSE,876
1259 - SAO JOSE,895
1259 - SAO JOSE,929
1259 - SAO JOSE,955
1259 - SAO JOSE,982
1259 - SAO JOSE,378
1259 - SAO JOSE,508
1259 - SAO JOSE,497
1259 - SAO JOSE,420
1259 - SAO JOSE,581
1259 - SAO JOSE,605
1259 - SAO JOSE,652
1259 - SAO JOSE,310
1259 - SAO JOSE,321
1259 - SAO JOSE,208
1260 - TIJUCAS,795
1260 - TIJUCAS,806
1260 - TIJUCAS,854
1260 - TIJUCAS,872
1260 - TIJUCAS,966
1260 - TIJUCAS,453
1260 - TIJUCAS,542
1260 - TIJUCAS,556
1260 - TIJUCAS,566
1260 - TIJUCAS,664
1260 - TIJUCAS,359
1260 - TIJUCAS,356
1260 - TIJUCAS,204
1260 - TIJUCAS,209
1261 - ITAJAI,71
1261 - ITAJAI,687
1261 - ITAJAI,723
1261 - ITAJAI,123
1261 - ITAJAI,706
1261 - ITAJAI,314
1261 - ITAJAI,772
1261 - ITAJAI,853
1261 - ITAJAI,905
1261 - ITAJAI,976
1261 - ITAJAI,681
1261 - ITAJAI,344
1262 - CAMBORIU,592
1262 - CAMBORIU,764
1262 - CAMBORIU,770
1262 - CAMBORIU,803
1262 - CAMBORIU,857
1262 - CAMBORIU,868
1262 - CAMBORIU,948
1262 - CAMBORIU,400
1262 - CAMBORIU,407
1262 - CAMBORIU,408
1262 - CAMBORIU,442
1262 - CAMBORIU,486
1262 - CAMBORIU,583
1262 - CAMBORIU,648
1262 - CAMBORIU,303
1262 - CAMBORIU,206
1262 - CAMBORIU,357
1263 - BRUSQUE,960
1263 - BRUSQUE,288
1263 - BRUSQUE,703
1263 - BRUSQUE,825
1263 - BRUSQUE,858
1263 - BRUSQUE,891
1263 - BRUSQUE,909
1263 - BRUSQUE,920
1263 - BRUSQUE,938
1263 - BRUSQUE,953
1263 - BRUSQUE,557
1263 - BRUSQUE,625
1263 - BRUSQUE,655
1263 - BRUSQUE,661
1263 - BRUSQUE,662
1263 - BRUSQUE,205
1263 - BRUSQUE,358
1263 - BRUSQUE,361
1263 - BRUSQUE,988
1264 - ITUPORANGA,867
1265 - ALFREDO WAGNER,441
1266 - LAGES,42
1266 - LAGES,754
1266 - LAGES,762
1266 - LAGES,414
1266 - LAGES,446
1266 - LAGES,494
1267 - SAO JOAQUIM,972
1268 - TUBARAO,550
1268 - TUBARAO,363
1268 - TUBARAO,291
1268 - TUBARAO,771
1268 - TUBARAO,801
1268 - TUBARAO,811
1268 - TUBARAO,865
1268 - TUBARAO,936
1268 - TUBARAO,978
1268 - TUBARAO,432
1268 - TUBARAO,459
1268 - TUBARAO,474
1268 - TUBARAO,544
1268 - TUBARAO,642
1268 - TUBARAO,213
1269 - CRICIUMA,217
1269 - CRICIUMA,107
1269 - CRICIUMA,634
1269 - CRICIUMA,689
1269 - CRICIUMA,776
1269 - CRICIUMA,832
1269 - CRICIUMA,838
1269 - CRICIUMA,892
1269 - CRICIUMA,939
1269 - CRICIUMA,977
1269 - CRICIUMA,433
1269 - CRICIUMA,429
1269 - CRICIUMA,435
1269 - CRICIUMA,488
1269 - CRICIUMA,632
1269 - CRICIUMA,315
1270 - ARARANGUA,110
1270 - ARARANGUA,822
1270 - ARARANGUA,952
1271 - BLUM.L.FREITAS,136
1271 - BLUM.L.FREITAS,747
1271 - BLUM.L.FREITAS,856
1271 - BLUM.L.FREITAS,663
1273 - BLUM.AMAZONAS,97
1273 - BLUM.AMAZONAS,615
1273 - BLUM.AMAZONAS,673
1273 - BLUM.AMAZONAS,760
1273 - BLUM.AMAZONAS,766
1273 - BLUM.AMAZONAS,785
1273 - BLUM.AMAZONAS,789
1273 - BLUM.AMAZONAS,875
1273 - BLUM.AMAZONAS,940
1273 - BLUM.AMAZONAS,575
1273 - BLUM.AMAZONAS,573
1273 - BLUM.AMAZONAS,633
1273 - BLUM.AMAZONAS,322
1273 - BLUM.AMAZONAS,201
1273 - BLUM.AMAZONAS,360
1273 - BLUM.AMAZONAS,207
1273 - BLUM.AMAZONAS,211
1273 - BLUM.AMAZONAS,368
1274 - MASSARANDUBA,330
1274 - MASSARANDUBA,893
1274 - MASSARANDUBA,657
1275 - TIMBO,445
1275 - TIMBO,372
1275 - TIMBO,725
1275 - TIMBO,440
1276 - RIO DO SUL,336
1276 - RIO DO SUL,752
